Extension,Count,Percentage,Category,Examples
pdf,283535,16.87%,📄 Text,Silver File_2117.pdf; 354_pg_OEC 2.pdf; 501_pg_V00 Basic Staff Hat.pdf
doc,217993,12.97%,📄 Text,SEMINAIRE TELEPAT Teegeeack CF271084.doc; Know To Mistery Straightwire For Extreme Cases BE170459.doc; Know To Mistery Straightwire For Extreme Cases BE170459.doc
tif,207756,12.36%,🖼️ Bilder,P0357.TIF; P0390.TIF; P0750.TIF
mp3,173776,10.34%,🎵 Audio,3-01 Track 01.mp3; - PDC 72 26.mp3; Epizentren und Selbstbestimmung 07.mp3
jpg,168183,10.01%,🖼️ Bilder,C1916.jpg; Silver File Folder_2815.jpg; Test of Whole Track Recall.jpg
htm,167069,9.94%,📄 Text,USE_008410.htm; 04_mudefin.htm; SH11_5.HTM
txt,149940,8.92%,📄 Text,EB 02-0369.txt; EB 24-0458.txt; EB 10-0016.txt
html,99789,5.94%,📄 Text,1047.html; 1047.html; 60.html
gif,56400,3.36%,🖼️ Bilder,9TITLE.GIF; 9TITLE.GIF; 9TITLE.GIF
rtf,16506,0.98%,📄 Text,5107C09C.RTF; 5107C09C.RTF; 5107C09C.RTF
bat,14618,0.87%,🔧 System,CP0700_0069.bat; CP0700_0069.bat; M4700_0103.bat
tiff,12501,0.74%,🖼️ Bilder,00000042.tiff; 00000354.tiff; PES Full Hat CHS 15.tiff
wav,10675,0.64%,🎵 Audio,"2ACC-03B Black Mock-Ups, Persistence, MEST 531118 orig tape.wav; 2ACC-03B Black Mock-Ups, Persistence, MEST 531118 orig tape.wav; 5009C28 S2 DiaNr4 Wie man steckn gebl Fälle löst.wav"
wma,6863,0.41%,🎵 Audio,21 Track 21.wma; Titel 12.wma; 08 - Track 8.wma
bmp,6644,0.40%,🖼️ Bilder,0001b180.bmp; 0001A013.bmp; 282.bmp
zip,5871,0.35%,📦 Archive,._Philadelphia Doctorate Course (PDC) lectures.zip; COMPLNT.ZIP; COMPLNT.ZIP
frf,5532,0.33%,Unkategorisiert,Beyond Psychology MP0059.FRF; Beyond Psychology MP0059.FRF; 19740003.FRF
box,5009,0.30%,Unkategorisiert,19830122.BOX; 19830001.BOX; EB Index-0213.BOX
png,4796,0.29%,🖼️ Bilder,Bildschirmfoto vom 2013-02-06 12:26:11.png; Slim Spurling's UNIVERSE page_0085.png; 180804 Screenshot 065.png
rm,4216,0.25%,🎬 Video,6405C19_SHSBC-383_The_Preclear_and_Getting_Auditing_to_Work.rm; 6405C19_SHSBC-383_The_Preclear_and_Getting_Auditing_to_Work.rm; 6111C08_SHSBC-081_Checking_Case_Reports.rm
db,2535,0.15%,📊 Daten,Thumbs.db; Thumbs.db; Thumbs.db
shtml,1936,0.12%,Unkategorisiert,coroner9-13_page3.shtml; coroner9-13_page3.shtml; coroner9-13_page3.shtml
odt,1870,0.11%,📄 Text,"FSB 20060808 Die bösartige Rolle von David Mayo.odt; FSB-layout-ideas-R2.odt; Basics of Creativity and Arts, T Morgen, 1981.odt"
au,1612,0.10%,🎵 Audio,eff1b478.au; eff1f6b7.au; eff0b96d.au
ini,1311,0.08%,🔧 System,winprofile.ini; winprofile.ini; winprofile.ini
mht,1283,0.08%,Unkategorisiert,Core Objectives Processes - Trio on Terminals.mht; Core Objectives Processes - Trio on Terminals.mht; Complete List of Scientology and Dianetics Books and Materials of 1970.mht
rar,1220,0.07%,📦 Archive,eff_course_eng.rar; eff_course_eng.rar; eff_course_eng.rar
url,1210,0.07%,Unkategorisiert,SHSBC-016.pdf .url; 16ACC02_A_of_Cause_030157.pdf .url; SHSBC-165.pdf .url
met,1094,0.07%,Unkategorisiert,Manag2 301-400.met; Manag2 301-400.met; Manag2 301-400.met
